,filename,width,height,file_size_kb,word_count,char_count,laplacian_variance,brightness,contrast,is_grayscale
0,Class_11_Figure 1.1.png,246,540,21.59,27,175,2599.32,241.67,30.14,False
1,Class_11_Figure 10.1.png,397,419,157.12,18,104,1936.53,227.69,51.92,False
2,Class_11_Figure 10.2a.png,256,438,59.12,4,30,4657.53,226.5,42.2,False
3,Class_11_Figure 10.2b.png,286,516,53.7,15,87,4796.4,235.82,35.82,False
4,Class_11_Figure 10.2c.png,253,292,23.36,0,0,3908.19,233.74,35.32,False
5,Class_11_Figure 10.2d.png,259,298,23.2,0,0,3377.83,236.02,35.72,False
6,Class_11_Figure 10.2e.png,278,368,41.94,17,85,3438.52,234.73,34.59,False
7,Class_11_Figure 10.3.png,766,392,110.29,17,94,3631.08,234.19,34.53,False
8,Class_11_Figure 10.4.png,775,443,143.5,16,92,4433.6,232.37,37.49,False
9,Class_11_Figure 11.10.png,296,292,14.37,17,111,3372.37,249.0,27.42,False
10,"Class_11_Figure 11.1a,b,c,d.png",530,820,117.45,8,55,3790.97,239.29,46.27,False
11,Class_11_Figure 11.2.png,953,461,127.95,26,201,4756.16,222.55,47.49,False
12,Class_11_Figure 11.3a.png,460,280,31.55,10,76,3598.24,217.66,39.34,False
13,Class_11_Figure 11.3b.png,471,283,26.64,9,53,3897.16,224.07,41.39,False
14,Class_11_Figure 11.3c.png,390,281,24.71,24,117,5319.66,216.94,44.64,False
15,Class_11_Figure 11.4.png,423,389,53.74,10,76,3356.2,235.4,41.87,False
16,Class_11_Figure 11.5.png,440,410,50.63,16,91,4040.47,237.35,40.91,False
17,Class_11_Figure 11.6.png,400,387,32.39,6,55,2976.22,241.57,36.79,False
18,Class_11_Figure 11.7.png,836,671,548.14,25,179,1813.93,227.0,54.61,False
19,Class_11_Figure 11.8.png,700,751,274.25,87,555,2873.01,243.79,32.88,False
20,Class_11_Figure 11.9.png,778,706,545.1,25,178,1361.42,224.91,46.87,False
21,Class_11_Figure 12.1.png,390,726,116.46,48,345,3089.76,218.62,29.97,False
22,Class_11_Figure 12.2.png,394,467,34.12,32,223,4682.85,240.87,36.29,False
23,Class_11_Figure 12.3.png,428,431,67.16,46,252,4033.9,244.88,35.15,False
24,Class_11_Figure 12.4.png,434,738,234.65,37,278,2487.61,222.45,51.58,False
25,Class_11_Figure 12.5.png,421,356,62.19,19,133,2554.8,242.88,33.25,False
26,Class_11_Figure 12.6.png,763,639,75.09,57,399,3742.88,240.88,34.84,False
27,Class_11_Figure 13.1.png,730,461,236.47,11,79,8669.45,217.75,47.06,False
28,Class_11_Figure 13.10.png,404,279,80.21,35,167,4137.86,239.6,38.23,False
29,Class_11_Figure 13.11.png,407,392,74.05,37,199,8525.5,240.83,40.15,False
30,Class_11_Figure 13.2.png,380,555,46.85,41,281,4863.43,241.5,41.02,False
31,Class_11_Figure 13.3.png,383,297,35.56,28,155,7407.17,241.3,42.06,False
32,Class_11_Figure 13.4.png,695,647,270.84,53,345,2198.05,242.45,36.05,False
33,Class_11_Figure 13.5.png,369,471,16.65,18,97,3009.91,246.18,27.02,False
34,Class_11_Figure 13.6.png,361,408,38.35,44,191,4423.71,245.56,35.87,False
35,Class_11_Figure 13.7.png,694,386,61.24,30,171,4177.49,240.39,37.61,False
36,Class_11_Figure 13.8.png,771,314,36.01,23,179,3478.22,244.81,37.76,False
37,Class_11_Figure 13.9.png,607,459,71.95,17,116,3942.52,239.77,39.39,False
38,Class_11_Figure 14.1.png,725,477,154.33,28,178,5585.61,235.57,45.49,False
39,Class_11_Figure 14.2a.png,398,367,45.56,0,0,6552.11,228.13,59.3,False
40,Class_11_Figure 14.2b.png,421,430,71.09,30,202,6684.9,233.02,53.65,False
41,Class_11_Figure 14.3.png,732,544,89.32,48,294,4374.72,243.0,39.4,False
42,Class_11_Figure 14.4.png,436,320,66.41,20,131,7922.5,236.73,45.03,False
43,Class_11_Figure 14.5.png,398,432,39.07,29,159,7207.39,238.48,39.88,False
44,Class_11_Figure 15.1.png,775,218,70.0,29,175,3824.76,234.05,46.3,False
45,Class_11_Figure 15.2.png,645,513,275.98,13,98,3516.18,209.21,71.59,False
46,Class_11_Figure 15.3.png,385,214,11.7,8,56,2734.68,242.27,29.47,False
47,Class_11_Figure 15.4.png,593,404,71.79,24,161,3974.23,239.93,44.05,False
48,Class_11_Figure 16.1.png,394,428,64.37,7,48,5250.72,234.31,49.1,False
49,Class_11_Figure 16.2.png,412,398,100.08,8,69,7869.94,224.36,54.75,False
50,Class_11_Figure 16.3.png,685,507,87.06,43,310,4566.22,240.8,44.01,False
51,Class_11_Figure 16.4.png,386,393,53.56,15,133,6197.57,218.63,64.47,False
52,Class_11_Figure 16.5.png,678,677,93.9,34,228,3028.98,211.29,32.95,False
53,Class_11_Figure 16.6.png,767,695,145.98,28,219,4111.94,227.89,58.11,False
54,Class_11_Figure 17.1.png,693,444,122.31,25,182,4394.74,231.08,45.72,False
55,Class_11_Figure 17.10.png,403,455,50.37,22,155,5296.44,244.95,36.4,False
56,Class_11_Figure 17.2.png,691,636,487.32,25,154,1761.3,193.52,86.62,False
57,Class_11_Figure 17.3a.png,630,139,68.15,0,0,6583.72,231.5,48.8,False
58,Class_11_Figure 17.3b.png,599,241,43.45,20,128,3889.58,244.44,35.17,False
59,Class_11_Figure 17.4.png,770,449,131.04,22,153,3412.85,233.63,48.61,False
60,Class_11_Figure 17.5.png,729,595,67.52,43,238,5016.88,237.31,38.14,False
61,Class_11_Figure 17.6.png,651,467,114.86,15,105,5158.39,234.58,38.54,False
62,Class_11_Figure 17.7.png,403,470,81.43,15,127,5848.08,243.23,34.94,False
63,Class_11_Figure 17.8.png,452,377,237.15,6,30,4988.89,217.34,60.66,False
64,Class_11_Figure 17.9.png,392,506,48.08,13,92,5318.51,245.41,35.4,False
65,Class_11_Figure 18.1.png,347,601,69.19,24,167,5543.16,241.74,41.05,False
66,Class_11_Figure 18.2.png,678,358,28.58,19,107,3072.31,239.35,46.54,False
67,Class_11_Figure 18.3.png,542,435,104.47,21,145,6941.29,223.31,49.12,False
68,Class_11_Figure 18.4.png,631,438,341.77,16,118,3452.25,224.39,51.48,False
69,Class_11_Figure 19.1.png,429,573,76.94,23,167,4505.82,235.98,41.14,False
70,Class_11_Figure 19.2.png,392,502,72.35,19,177,5515.87,229.08,49.3,False
71,Class_11_Figure 19.3a.png,352,365,39.22,0,0,4339.58,234.26,38.79,False
72,Class_11_Figure 19.3b.png,340,454,62.77,17,106,5418.39,236.13,40.91,False
73,Class_11_Figure 19.4a.png,247,414,61.03,4,27,2168.54,232.77,40.46,False
74,Class_11_Figure 19.4b.png,401,429,144.0,5,37,2325.27,217.3,52.25,False
