,filename,laplacian_variance,brightness,contrast,is_grayscale
0,Figure 1.1.png,2599.32,241.67,30.14,False
1,Figure 10.1.png,1936.53,227.69,51.92,False
2,Figure 10.2a.png,4657.53,226.5,42.2,False
3,Figure 10.2b.png,4796.4,235.82,35.82,False
4,Figure 10.2c.png,3908.19,233.74,35.32,False
5,Figure 10.2d.png,3377.83,236.02,35.72,False
6,Figure 10.2e.png,3438.52,234.73,34.59,False
7,Figure 10.3.png,3631.08,234.19,34.53,False
8,Figure 10.4.png,4433.6,232.37,37.49,False
9,Figure 11.10.png,3372.37,249.0,27.42,False
10,"Figure 11.1a,b,c,d.png",3790.97,239.29,46.27,False
11,Figure 11.2.png,4756.16,222.55,47.49,False
12,Figure 11.3a.png,3598.24,217.66,39.34,False
13,Figure 11.3b.png,3897.16,224.07,41.39,False
14,Figure 11.3c.png,5319.66,216.94,44.64,False
15,Figure 11.4.png,3356.2,235.4,41.87,False
16,Figure 11.5.png,4040.47,237.35,40.91,False
17,Figure 11.6.png,2976.22,241.57,36.79,False
18,Figure 11.7.png,1813.93,227.0,54.61,False
19,Figure 11.8.png,2873.01,243.79,32.88,False
20,Figure 11.9.png,1361.42,224.91,46.87,False
21,Figure 12.1.png,3089.76,218.62,29.97,False
22,Figure 12.2.png,4682.85,240.87,36.29,False
23,Figure 12.3.png,4033.9,244.88,35.15,False
24,Figure 12.4.png,2487.61,222.45,51.58,False
25,Figure 12.5.png,2554.8,242.88,33.25,False
26,Figure 12.6.png,3742.88,240.88,34.84,False
27,Figure 13.1.png,8669.45,217.75,47.06,False
28,Figure 13.10.png,4137.86,239.6,38.23,False
29,Figure 13.11.png,8525.5,240.83,40.15,False
30,Figure 13.2.png,4863.43,241.5,41.02,False
31,Figure 13.3.png,7407.17,241.3,42.06,False
32,Figure 13.4.png,2198.05,242.45,36.05,False
33,Figure 13.5.png,3009.91,246.18,27.02,False
34,Figure 13.6.png,4423.71,245.56,35.87,False
35,Figure 13.7.png,4177.49,240.39,37.61,False
36,Figure 13.8.png,3478.22,244.81,37.76,False
37,Figure 13.9.png,3942.52,239.77,39.39,False
38,Figure 14.1.png,5585.61,235.57,45.49,False
39,Figure 14.2a.png,6552.11,228.13,59.3,False
40,Figure 14.2b.png,6684.9,233.02,53.65,False
41,Figure 14.3.png,4374.72,243.0,39.4,False
42,Figure 14.4.png,7922.5,236.73,45.03,False
43,Figure 14.5.png,7207.39,238.48,39.88,False
44,Figure 15.1.png,3824.76,234.05,46.3,False
45,Figure 15.2.png,3516.18,209.21,71.59,False
46,Figure 15.3.png,2734.68,242.27,29.47,False
47,Figure 15.4.png,3974.23,239.93,44.05,False
48,Figure 16.1.png,5250.72,234.31,49.1,False
49,Figure 16.2.png,7869.94,224.36,54.75,False
50,Figure 16.3.png,4566.22,240.8,44.01,False
51,Figure 16.4.png,6197.57,218.63,64.47,False
52,Figure 16.5.png,3028.98,211.29,32.95,False
53,Figure 16.6.png,4111.94,227.89,58.11,False
54,Figure 17.1.png,4394.74,231.08,45.72,False
55,Figure 17.10.png,5296.44,244.95,36.4,False
56,Figure 17.2.png,1761.3,193.52,86.62,False
57,Figure 17.3a.png,6583.72,231.5,48.8,False
