,filename,width,height,file_size_kb
0,Figure 1.1.png,246,540,21.5908203125
1,Figure 10.1.png,397,419,157.1201171875
2,Figure 10.2a.png,256,438,59.1181640625
3,Figure 10.2b.png,286,516,53.6953125
4,Figure 10.2c.png,253,292,23.361328125
5,Figure 10.2d.png,259,298,23.2021484375
6,Figure 10.2e.png,278,368,41.943359375
7,Figure 10.3.png,766,392,110.29296875
8,Figure 10.4.png,775,443,143.5009765625
9,Figure 11.10.png,296,292,14.3720703125
10,"Figure 11.1a,b,c,d.png",530,820,117.4482421875
11,Figure 11.2.png,953,461,127.9501953125
12,Figure 11.3a.png,460,280,31.5478515625
13,Figure 11.3b.png,471,283,26.6357421875
14,Figure 11.3c.png,390,281,24.7080078125
15,Figure 11.4.png,423,389,53.7412109375
16,Figure 11.5.png,440,410,50.6259765625
17,Figure 11.6.png,400,387,32.388671875
18,Figure 11.7.png,836,671,548.142578125
19,Figure 11.8.png,700,751,274.2529296875
20,Figure 11.9.png,778,706,545.095703125
21,Figure 12.1.png,390,726,116.455078125
22,Figure 12.2.png,394,467,34.12109375
23,Figure 12.3.png,428,431,67.16015625
24,Figure 12.4.png,434,738,234.6484375
25,Figure 12.5.png,421,356,62.189453125
26,Figure 12.6.png,763,639,75.0869140625
27,Figure 13.1.png,730,461,236.474609375
28,Figure 13.10.png,404,279,80.2080078125
29,Figure 13.11.png,407,392,74.052734375
30,Figure 13.2.png,380,555,46.8515625
31,Figure 13.3.png,383,297,35.5576171875
32,Figure 13.4.png,695,647,270.84375
33,Figure 13.5.png,369,471,16.650390625
34,Figure 13.6.png,361,408,38.353515625
35,Figure 13.7.png,694,386,61.2353515625
36,Figure 13.8.png,771,314,36.0126953125
37,Figure 13.9.png,607,459,71.94921875
38,Figure 14.1.png,725,477,154.3271484375
39,Figure 14.2a.png,398,367,45.5556640625
40,Figure 14.2b.png,421,430,71.09375
41,Figure 14.3.png,732,544,89.3203125
42,Figure 14.4.png,436,320,66.4072265625
43,Figure 14.5.png,398,432,39.0693359375
44,Figure 15.1.png,775,218,70.0048828125
45,Figure 15.2.png,645,513,275.9755859375
46,Figure 15.3.png,385,214,11.7021484375
47,Figure 15.4.png,593,404,71.7861328125
48,Figure 16.1.png,394,428,64.373046875
49,Figure 16.2.png,412,398,100.083984375
50,Figure 16.3.png,685,507,87.056640625
51,Figure 16.4.png,386,393,53.5595703125
52,Figure 16.5.png,678,677,93.904296875
53,Figure 16.6.png,767,695,145.982421875
54,Figure 17.1.png,693,444,122.3125
55,Figure 17.10.png,403,455,50.365234375
56,Figure 17.2.png,691,636,487.3173828125
57,Figure 17.3a.png,630,139,68.1474609375
58,Figure 17.3b.png,599,241,43.4462890625
59,Figure 17.4.png,770,449,131.037109375
60,Figure 17.5.png,729,595,67.5244140625
61,Figure 17.6.png,651,467,114.857421875
62,Figure 17.7.png,403,470,81.42578125
63,Figure 17.8.png,452,377,237.150390625
64,Figure 17.9.png,392,506,48.0791015625
65,Figure 18.1.png,347,601,69.19140625
66,Figure 18.2.png,678,358,28.5849609375
67,Figure 18.3.png,542,435,104.470703125
68,Figure 18.4.png,631,438,341.7666015625
69,Figure 19.1.png,429,573,76.9384765625
70,Figure 19.2.png,392,502,72.34765625
71,Figure 19.3a.png,352,365,39.21875
72,Figure 19.3b.png,340,454,62.767578125
73,Figure 19.4a.png,247,414,61.029296875
74,Figure 19.4b.png,401,429,144.0048828125
75,Figure 19.5a.png,743,464,73.490234375
76,Figure 19.5b.png,730,637,96.9248046875
77,Figure 2.1.png,786,269,56.9765625
78,Figure 2.2.png,313,423,73.3671875
79,Figure 2.3.png,379,290,53.6962890625
80,Figure 2.4a.png,227,303,81.8486328125
81,Figure 2.4b.png,278,180,57.302734375
82,Figure 2.4c.png,229,207,54.68359375
83,Figure 2.4d.png,297,296,81.921875
84,Figure 2.5a.png,266,228,93.333984375
85,Figure 2.5b.png,274,205,74.0654296875
86,Figure 2.5c.png,303,350,122.9462890625
87,Figure 2.6a.png,383,380,142.9716796875
88,Figure 2.6b.png,394,402,53.2099609375
89,Figure 3.1.png,609,761,403.703125
90,Figure 3.2a.png,264,310,42.6396484375
91,Figure 3.2b.png,272,324,47.4423828125
92,Figure 3.2c.png,413,393,45.3662109375
93,Figure 3.2d.png,339,360,91.08984375
94,Figure 3.3a.png,409,349,90.751953125
95,Figure 3.3b.png,311,537,58.326171875
96,Figure 3.3c.png,272,380,221.890625
97,Figure 3.3d.png,243,382,179.0390625
98,Figure 3.4a.png,354,280,192.25390625
99,Figure 3.4b.png,274,363,209.2529296875
100,Figure 3.4c.png,338,318,66.6376953125
101,Figure 3.5a.png,231,323,127.525390625
102,Figure 3.5b.png,198,330,142.5869140625
103,Figure 4.10.png,306,419,40.8388671875
104,Figure 4.11.png,350,532,95.9208984375
105,Figure 4.12a.png,218,149,23.2685546875
106,Figure 4.12b.png,162,161,50.4248046875
107,Figure 4.12c.png,125,218,16.890625
108,Figure 4.12d.png,195,204,28.9931640625
109,Figure 4.13a.png,175,215,61.5849609375
110,Figure 4.13b.png,157,243,78.181640625
111,Figure 4.14a.png,220,166,50.744140625
112,Figure 4.14b.png,239,259,46.3154296875
113,Figure 4.15.png,232,397,50.5283203125
114,Figure 4.16.png,371,191,80.6376953125
115,Figure 4.17.png,230,381,79.65625
116,Figure 4.18.png,377,136,53.3251953125
117,Figure 4.19a.png,380,104,26.771484375
118,Figure 4.19b.png,364,187,60.541015625
119,Figure 4.1a.png,316,307,37.546875
120,Figure 4.1b.png,409,345,46.3701171875
121,Figure 4.20a.png,173,375,93.236328125
122,Figure 4.20b.png,147,379,78.5556640625
123,Figure 4.21a.png,244,141,45.810546875
124,Figure 4.21b.png,199,180,62.12109375
125,Figure 4.22a.png,187,271,79.7900390625
126,Figure 4.22b.png,212,234,70.2998046875
127,Figure 4.22c.png,167,246,63.9375
128,Figure 4.22d.png,176,239,44.8193359375
129,Figure 4.23a.png,157,261,37.9521484375
130,Figure 4.23b.png,125,266,27.6904296875
131,Figure 4.23c.png,177,265,43.15234375
132,Figure 4.23d.png,310,257,84.8681640625
133,Figure 4.24a.png,242,175,61.853515625
134,Figure 4.24b.png,138,269,52.0498046875
135,Figure 4.24c.png,357,131,42.7109375
136,Figure 4.24d.png,356,137,37.8349609375
137,Figure 4.2a.png,226,231,32.81640625
138,Figure 4.2b.png,229,233,38.8359375
139,Figure 4.3a.png,192,210,30.279296875
140,Figure 4.3b.png,253,208,34.3955078125
141,Figure 4.3c.png,183,183,34.623046875
142,Figure 4.4.png,725,436,328.609375
143,Figure 4.5a.png,163,257,25.9921875
144,Figure 4.5b.png,199,192,32.912109375
145,Figure 4.5c.png,363,235,57.9580078125
146,Figure 4.6a.png,275,349,60.4130859375
147,Figure 4.6b.png,250,358,44.5302734375
148,Figure 4.7.png,184,267,44.482421875
149,Figure 4.8.png,259,452,48.0595703125
150,Figure 4.9a.png,240,319,43.1650390625
151,Figure 4.9b.png,163,327,8.298828125
152,Figure 5.1.png,395,520,92.8798828125
153,Figure 5.10.png,749,210,205.2724609375
154,Figure 5.11a.png,156,291,49.669921875
155,Figure 5.11b.png,158,293,54.7490234375
156,Figure 5.11c.png,149,301,50.693359375
157,Figure 5.11d.png,127,313,44.6201171875
158,Figure 5.12a.png,158,195,7.0927734375
159,Figure 5.12b.png,156,175,34.234375
160,Figure 5.12c.png,184,167,33.228515625
161,Figure 5.12d.png,171,177,30.640625
162,Figure 5.12e.png,120,145,9.35546875
163,Figure 5.13a.png,266,228,67.447265625
164,Figure 5.13b.png,289,191,44.7939453125
165,Figure 5.14.png,374,251,53.8447265625
166,Figure 5.15.png,659,355,167.263671875
167,Figure 5.16.png,330,401,40.3388671875
168,Figure 5.17a.png,278,339,100.30859375
169,Figure 5.17b.png,83,128,7.845703125
170,Figure 5.17c.png,91,143,9.8017578125
171,Figure 5.17d.png,72,117,7.7470703125
172,Figure 5.17e.png,112,194,11.212890625
173,Figure 5.17f.png,177,181,17.0908203125
174,Figure 5.2a.png,268,346,47.171875
175,Figure 5.2b.png,204,231,55.9619140625
176,Figure 5.2c.png,344,331,197.9990234375
177,Figure 5.3.png,383,356,69.201171875
