,filename,word_count,char_count
0,Figure 1.1.png,27,175
1,Figure 10.1.png,18,104
2,Figure 10.2a.png,4,30
3,Figure 10.2b.png,15,87
4,Figure 10.2c.png,0,0
5,Figure 10.2d.png,0,0
6,Figure 10.2e.png,17,85
7,Figure 10.3.png,17,94
8,Figure 10.4.png,16,92
9,Figure 11.10.png,17,111
10,"Figure 11.1a,b,c,d.png",8,55
11,Figure 11.2.png,26,201
12,Figure 11.3a.png,10,76
13,Figure 11.3b.png,9,53
14,Figure 11.3c.png,24,117
15,Figure 11.4.png,10,76
16,Figure 11.5.png,16,91
17,Figure 11.6.png,6,55
18,Figure 11.7.png,25,179
19,Figure 11.8.png,87,555
20,Figure 11.9.png,25,178
21,Figure 12.1.png,48,345
22,Figure 12.2.png,32,223
23,Figure 12.3.png,46,252
24,Figure 12.4.png,37,278
25,Figure 12.5.png,19,133
26,Figure 12.6.png,57,399
27,Figure 13.1.png,11,79
28,Figure 13.10.png,35,167
29,Figure 13.11.png,37,199
30,Figure 13.2.png,41,281
31,Figure 13.3.png,28,155
32,Figure 13.4.png,53,345
33,Figure 13.5.png,18,97
34,Figure 13.6.png,44,191
35,Figure 13.7.png,30,171
36,Figure 13.8.png,23,179
37,Figure 13.9.png,17,116
38,Figure 14.1.png,28,178
39,Figure 14.2a.png,0,0
40,Figure 14.2b.png,30,202
41,Figure 14.3.png,48,294
42,Figure 14.4.png,20,131
43,Figure 14.5.png,29,159
44,Figure 15.1.png,29,175
45,Figure 15.2.png,13,98
46,Figure 15.3.png,8,56
47,Figure 15.4.png,24,161
48,Figure 16.1.png,7,48
49,Figure 16.2.png,8,69
50,Figure 16.3.png,43,310
51,Figure 16.4.png,15,133
52,Figure 16.5.png,34,228
53,Figure 16.6.png,28,219
54,Figure 17.1.png,25,182
55,Figure 17.10.png,22,155
56,Figure 17.2.png,25,154
57,Figure 17.3a.png,0,0
58,Figure 17.3b.png,20,128
59,Figure 17.4.png,22,153
60,Figure 17.5.png,43,238
61,Figure 17.6.png,15,105
62,Figure 17.7.png,15,127
63,Figure 17.8.png,6,30
64,Figure 17.9.png,13,92
65,Figure 18.1.png,24,167
66,Figure 18.2.png,19,107
67,Figure 18.3.png,21,145
68,Figure 18.4.png,16,118
69,Figure 19.1.png,23,167
70,Figure 19.2.png,19,177
71,Figure 19.3a.png,0,0
72,Figure 19.3b.png,17,106
73,Figure 19.4a.png,4,27
74,Figure 19.4b.png,5,37
75,Figure 19.5a.png,28,203
76,Figure 19.5b.png,42,306
77,Figure 2.1.png,16,95
78,Figure 2.2.png,12,87
79,Figure 2.3.png,5,32
80,Figure 2.4a.png,0,0
81,Figure 2.4b.png,1,4
82,Figure 2.4c.png,1,4
83,Figure 2.4d.png,11,75
84,Figure 2.5a.png,0,0
85,Figure 2.5b.png,1,4
86,Figure 2.5c.png,9,57
87,Figure 2.6a.png,0,0
88,Figure 2.6b.png,3,19
89,Figure 3.1.png,30,184
90,Figure 3.2a.png,4,32
91,Figure 3.2b.png,2,21
92,Figure 3.2c.png,9,69
93,Figure 3.2d.png,6,54
94,Figure 3.3a.png,4,25
95,Figure 3.3b.png,7,51
96,Figure 3.3c.png,0,0
97,Figure 3.3d.png,0,0
98,Figure 3.4a.png,0,0
99,Figure 3.4b.png,0,0
100,Figure 3.4c.png,15,93
101,Figure 3.5a.png,0,0
102,Figure 3.5b.png,0,0
103,Figure 4.10.png,9,64
104,Figure 4.11.png,10,62
105,Figure 4.12a.png,1,4
106,Figure 4.12b.png,0,0
107,Figure 4.12c.png,1,3
108,Figure 4.12d.png,1,2
109,Figure 4.13a.png,1,4
110,Figure 4.13b.png,0,0
111,Figure 4.14a.png,0,0
112,Figure 4.14b.png,11,70
113,Figure 4.15.png,5,44
114,Figure 4.16.png,12,90
115,Figure 4.17.png,3,21
116,Figure 4.18.png,7,46
117,Figure 4.19a.png,0,0
118,Figure 4.19b.png,12,77
119,Figure 4.1a.png,6,36
120,Figure 4.1b.png,5,34
121,Figure 4.20a.png,1,4
122,Figure 4.20b.png,0,0
123,Figure 4.21a.png,0,0
124,Figure 4.21b.png,0,0
125,Figure 4.22a.png,1,4
126,Figure 4.22b.png,1,4
127,Figure 4.22c.png,1,4
128,Figure 4.22d.png,1,5
129,Figure 4.23a.png,1,4
130,Figure 4.23b.png,0,0
131,Figure 4.23c.png,1,3
132,Figure 4.23d.png,0,0
133,Figure 4.24a.png,0,0
134,Figure 4.24b.png,0,0
135,Figure 4.24c.png,0,0
136,Figure 4.24d.png,1,2
137,Figure 4.2a.png,0,0
138,Figure 4.2b.png,0,0
139,Figure 4.3a.png,0,0
140,Figure 4.3b.png,1,14
141,Figure 4.3c.png,0,0
142,Figure 4.4.png,54,484
143,Figure 4.5a.png,0,0
144,Figure 4.5b.png,0,0
145,Figure 4.5c.png,12,72
146,Figure 4.6a.png,0,0
147,Figure 4.6b.png,0,0
148,Figure 4.7.png,6,43
149,Figure 4.8.png,6,49
150,Figure 4.9a.png,0,0
151,Figure 4.9b.png,0,0
152,Figure 5.1.png,16,108
153,Figure 5.10.png,16,87
154,Figure 5.11a.png,2,5
155,Figure 5.11b.png,1,3
156,Figure 5.11c.png,2,5
157,Figure 5.11d.png,0,0
158,Figure 5.12a.png,1,4
159,Figure 5.12b.png,0,0
160,Figure 5.12c.png,1,4
161,Figure 5.12d.png,1,5
162,Figure 5.12e.png,0,0
163,Figure 5.13a.png,6,39
164,Figure 5.13b.png,5,36
165,Figure 5.14.png,13,102
166,Figure 5.15.png,21,157
167,Figure 5.16.png,14,60
168,Figure 5.17a.png,0,0
169,Figure 5.17b.png,1,4
170,Figure 5.17c.png,0,0
171,Figure 5.17d.png,1,4
172,Figure 5.17e.png,1,4
173,Figure 5.17f.png,0,0
174,Figure 5.2a.png,2,14
175,Figure 5.2b.png,1,4
176,Figure 5.2c.png,2,20
177,Figure 5.3.png,17,105
178,Figure 5.4a.png,6,40
179,Figure 5.4b.png,1,4
180,Figure 5.4c.png,1,5
181,Figure 5.5a.png,3,17
182,Figure 5.5b.png,4,19
183,Figure 5.6a.png,6,26
184,Figure 5.6b.png,2,10
185,Figure 5.6c.png,3,17
186,Figure 5.7.png,4,34
187,Figure 5.8.png,4,32
188,Figure 5.9a.png,1,4
189,Figure 5.9b.png,1,4
190,Figure 5.9c.png,1,4
191,Figure 5.9d.png,1,5
192,Figure 6.1.png,26,200
193,Figure 6.2.png,22,140
194,Figure 6.3a.png,8,67
195,Figure 6.3b.png,19,129
196,Figure 6.4a.png,22,204
197,Figure 6.4b.png,9,47
198,Figure 6.5a.png,18,137
199,Figure 6.5b.png,18,111
200,Figure 7.1.png,6,37
201,Figure 7.2.png,28,223
202,Figure 7.3.png,14,102
203,Figure 7.4.png,12,92
204,Figure 8.1.png,42,280
205,Figure 8.10.png,30,247
206,Figure 8.11.png,11,89
207,Figure 8.12.png,6,53
208,Figure 8.13.png,15,113
209,Figure 8.2.png,29,191
210,Figure 8.3.png,67,523
211,Figure 8.4.png,14,110
212,Figure 8.5.png,0,0
213,Figure 8.6.png,1,10
214,Figure 8.7.png,17,133
215,Figure 8.8.png,12,70
216,Figure 8.9.png,10,58
217,Figure 9.1.png,87,559
218,Figure 9.2.png,12,80
219,Figure 9.3a.png,4,30
220,Figure 9.3b.png,0,0
221,Figure 9.3c.png,6,46
222,Figure 9.3d.png,9,64
223,Figure 9.4.png,25,192
224,Figure 9.5.png,31,184
225,Table 1.1.png,33,328
226,Table 11.1.png,189,1405
227,Table 14.1.png,48,281
228,Table 15.1.png,23,128
229,Table 2.1.png,77,693
230,Table 3.1.png,85,648
231,Table 4.1.png,49,346
232,Table 4.2.png,124,993
233,Table 9.1.png,55,334
234,Table 9.2.png,29,193
235,Table 9.3.png,38,316
236,Table 9.4.png,26,159
237,Table 9.5.png,26,230
