,image,captions,image_path
0,Class_12_Figure 1.1.jpg,A diagrammatic representation of L.S. of a flower To a biologist flowers are morphological and embryological marvels and the sites of sexual reproduction.  In earlier classes you have read the various parts of a flower.  Figure 1.1 will help you recall the parts of a typical flower. Flowers are objects of aesthetic ornamental social religious and cultural value they have always been used as symbols for conveying important human feelings such as love affection,C:\Users\student\Desktop\202418003\Minor Project\Class 12\dataset\images\Class_12_Figure 1.1.jpg
1,Class_12_Figure 1.2.jpg,A typical stamen threedimensional cut section of an anther Figure 1.2a shows the two parts of a typical stamen  the long and slender stalk called the filament and the terminal generally bilobed structure alled the anther. A typical angiosperm anther is bilobed with each lobe having two theca i.e. they are dithecous (Figure 1.2b). Often a longitudinal groove runs lengthwise separating the theca.,C:\Users\student\Desktop\202418003\Minor Project\Class 12\dataset\images\Class_12_Figure 1.2.jpg
2,Class_12_Figure 1.3.jpg,Transverse section of a young anther Enlarged view of one microsporangium showing wall layers A mature dehisced anther The process of formation of microspores from a pollen mother cell (PMC) through meiosis is called microsporogenesis. The microspores as they are formed are arranged in a cluster of four cellsthe microspore tetrad (Figure 1.3a).  As the anthers mature and dehydrate the microspores dissociate from each other and develop into pollen grains (Figure 1.3 b). Inside each microsporangium several thousands of microspores or pollen grains are formed that are released with the dehiscence of anther (Figure 1.3c).,C:\Users\student\Desktop\202418003\Minor Project\Class 12\dataset\images\Class_12_Figure 1.3.jpg
3,Class_12_Figure 1.4.jpg,Pollen grain: The pollen grains represent the male gametophytes.If you touch the opened anthers of Hibiscus or any other flower you would find deposition of yellowish powdery pollen grains on your fingers. Sprinkle these grains on a drop of water taken on a glass slide and observe under  a microscope.  You will really be amazed at the variety of architecture sizes shapes colours designs  seen on the pollen grains from different species (Figure 1.4).,C:\Users\student\Desktop\202418003\Minor Project\Class 12\dataset\images\Class_12_Figure 1.4.jpg
4,Class_12_Figure 1.5.jpg,When the pollen grain is mature it contains two cells the vegetative cell and generative cell (Figure 1.5b).  The vegetative cell is bigger has abundant food reserve and a large irregularly shaped nucleus. The generative cell is small and floats in the cytoplasm of the vegetative cell.,C:\Users\student\Desktop\202418003\Minor Project\Class 12\dataset\images\Class_12_Figure 1.5.jpg
5,Class_12_Figure 1.6.jpg, In western countries a large number of  pollen products in the form of tablets and syrups are available in the market. Pollen consumption has been claimed to increase the performance of athletes and race horses (Figure 1.6).,C:\Users\student\Desktop\202418003\Minor Project\Class 12\dataset\images\Class_12_Figure 1.6.jpg
6,Class_12_Figure 1.7.jpg, The gynoecium represents the female reproductive part of the flower.  The gynoecium may consist of a single pistil (monocarpellary) or may have more than one pistil (multicarpellary).  When there are more than one the pistils may be fused together (syncarpous) (Figure 1.7b) or may be free (apocarpous) (Figure 1.7c). Each pistil has three parts (Figure 1.7a) the stigma style and ovary. The stigma serves as a landing platform for pollen grains.,C:\Users\student\Desktop\202418003\Minor Project\Class 12\dataset\images\Class_12_Figure 1.7.jpg
7,Class_12_Figure 1.8.jpg,It is a large cell containing dense cytoplasm and a prominent nucleus. The MMC undergoes meiotic division. What is the importance of the MMC undergoing meiosis? Meiosis results in the production of four megaspores (Figure 1.8a). Let us study about the formation of the embryo sac in detail. (Figure 1.8b). The nucleus of the functional megaspore divides mitotically to form two nuclei which move to the opposite poles forming the 2 nucleate embryo sac. After the 8-nucleate stage cell walls are laid down leading to the organisation of the typical female gametophyte or embryo sac. Observe the distribution of cells inside the embryo sac (Figure 1.8b c).  Six of the eight nuclei are surrounded by cell walls and organised into cells,C:\Users\student\Desktop\202418003\Minor Project\Class 12\dataset\images\Class_12_Figure 1.8.jpg
8,Class_12_Figure 1.9.jpg, Autogamy : In this type pollination is achieved within the same flower. Transfer of pollen grains from the anther to the stigma of the same flower (Figure 1.9a). Some plants such as Viola (common pansy) Oxalis and Commelina produce two types of flowers chasmogamous flowers which are similar to flowers of other species with exposed anthers and stigma and cleistogamous flowers which do not open at all (Figure 1.9c).Xenogamy  Transfer of pollen grains from anther to the stigma of a different plant (Figure 1.9b). ,C:\Users\student\Desktop\202418003\Minor Project\Class 12\dataset\images\Class_12_Figure 1.9.jpg
9,Class_12_Figure 1.10.jpg,Wind pollination also requires that the pollen grains are light and non-sticky so that they can be transported in wind currents. They often possess well-exposed stamens (so that the pollens are easily dispersed into wind currents Figure 1.10) and large often-feathery stigma to easily trap air-borne pollen grains. Wind pollinated flowers often have a single ovule in each ovary and numerous flowers packed into an inflorescence,C:\Users\student\Desktop\202418003\Minor Project\Class 12\dataset\images\Class_12_Figure 1.10.jpg
